Year,total_rows,included_rows,excluded_rows,missing_EI_rows,non_positive_EI_rows,missing_EI_next_rows,non_positive_EI_next_rows,missing_green_capability_rows,missing_g_network_rows,missing_general_complexity_rows
1995,4915,1632,3283,0,320,0,320,2078,0,3241
1996,4915,1637,3278,0,320,0,320,2078,0,3239
1997,4915,1663,3252,0,320,0,319,2078,0,3209
1998,4915,1668,3247,0,319,0,318,2078,0,3205
1999,4915,1689,3226,0,318,0,318,2067,0,3185
2000,4915,1743,3172,0,318,0,318,2001,0,3106
2001,4915,1740,3175,0,318,0,318,2001,0,3108
2002,4915,1740,3175,0,318,0,318,2001,0,3111
2003,4915,1742,3173,0,318,0,293,2001,0,3107
2004,4915,1741,3174,0,300,0,299,2000,0,3118
2005,4915,1720,3195,0,299,0,299,2001,0,3140
2006,4915,1733,3182,0,299,0,292,1979,0,3117
2007,4915,1748,3167,0,293,0,293,1979,0,3101
2008,4915,1745,3170,0,295,0,294,1979,0,3103
2009,4915,1768,3147,0,294,0,292,1979,0,3078
2010,4915,1733,3182,0,292,0,292,1979,0,3112
2011,4915,1718,3197,0,294,0,294,1991,0,3141
2012,4915,1713,3202,0,295,0,294,1991,0,3145
2013,4915,1725,3190,0,294,0,293,1991,0,3135
2014,4915,1722,3193,0,293,0,293,1991,0,3137
2015,4915,1715,3200,0,295,0,295,1991,0,3141
2016,4915,0,4915,4915,295,4915,0,1991,0,3125
