Year,global_output_simulated,global_output_observed,global_output_loss,matched_rows
1995,54979533007.42996,54979533007.42996,0.0,4915
1996,50258554314.56262,57388784293.47104,0.24863148131350116,4915
1997,49850592435.69667,57463951390.01317,0.23101335866634315,4915
1998,49130794194.034836,57754264705.18004,0.24828066712550673,4915
1999,50002970833.38519,60307667846.04138,0.2577967713824127,4915
2000,50408871206.66945,62900232772.64813,0.29020765183520375,4915
2001,49907653232.8733,62322542886.79123,0.28500547825600975,4915
2002,50350522772.995285,64785219682.20599,0.29904249361659524,4915
2003,52163534228.48903,72893606734.53806,0.34518159579131336,4915
2004,53461160684.93324,83287252182.21884,0.40983598797203624,4915
2005,54011267790.103035,92159519691.20213,0.465084485574303,4915
2006,54076025867.505165,100851121349.09633,0.5173578702889117,4915
2007,54380816986.03882,116327940062.2472,0.5816897042370958,4915
2008,55129771024.70679,130098503737.21675,0.6403715927587065,4915
2009,55314828975.30728,120546118485.27751,0.6080247991749764,4915
2010,55815937232.637085,134768044152.3196,0.6494071608084638,4915
2011,56223613220.42513,151999634532.95233,0.6896279857703234,4915
2012,56345261355.34325,154658179331.85147,0.6910800465637332,4915
2013,55789752229.12027,159056969114.49866,0.7065642007521977,4915
2014,55927126012.849014,159200484878.60663,0.7114125366882758,4915
2015,55785166872.22806,152930912836.8119,1.1502927493214945,4915
2016,55075172686.246506,154607123866.26974,0.7168188889107517,4915
